"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"1500-01.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1501-02.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1502-03.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1503-04.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1504-05.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1505-06.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1506-07.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1507-08.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1508-01.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1509-02.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1510-03.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1511-09.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1512-10.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1513-04.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1514-11.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1515-05.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1516-12.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1517-13.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1518-06.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1519-14.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1520-07.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1521-15.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1522-16.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1523-08.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1524-17.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1525-01.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1526-18.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1527-19.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1528-02.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1529-20.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1530-03.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1531-09.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1532-10.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1533-04.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1534-11.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1535-05.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1536-12.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1537-13.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1538-06.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1539-14.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1540-07.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1541-15.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1542-16.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1543-08.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1544-17.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1545-01.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1546-18.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1547-19.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1548-02.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1549-20.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1550-09.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1551-11.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1552-12.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1553-14.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1554-15.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1555-17.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1556-18.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1557-20.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1558-09.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1559-11.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1560-12.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1561-14.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1562-15.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1563-17.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1564-18.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1565-20.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1566-09.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1567-11.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1568-12.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1569-14.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1570-15.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1571-17.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1572-18.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1573-20.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1574-09.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1575-11.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1576-12.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1577-14.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1578-15.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1579-17.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1580-18.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1581-20.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1582-09.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1583-11.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1584-12.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1585-14.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1586-15.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1587-17.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1588-18.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1589-20.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1590-21.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1591-22.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1592-09.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1593-23.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1594-11.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1595-24.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1596-25.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1597-12.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1598-26.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1599-14.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1600-27.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1601-28.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1602-15.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1603-29.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1604-17.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1605-30.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1606-31.281019.7","1","1","1","0","0","0","0","20191028","20200205"
"1607-18.281019.7","1","1","1","0","0","0","0","20191028","20200205"
