"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"1419.121.100","1","0","0","1","1","0","0","20191107","20191108"
"1419.121.104","0","1","0","1","1","0","0","20191107","20191108"
"1419.121.108","1","1","0","1","1","0","0","20191107","20191108"
"1419.121.112","0","0","1","1","1","0","0","20191107","20191108"
"1419.121.116","1","0","1","1","1","0","0","20191107","20191108"
"1419.121.12","1","1","0","0","0","0","0","20191107","20191108"
"1419.121.120","0","1","1","1","1","0","0","20191107","20191108"
"1419.121.124","1","1","1","1","1","0","0","20191107","20191108"
"1419.121.16","0","0","1","0","0","0","0","20191107","20191108"
"1419.121.20","1","0","1","0","0","0","0","20191107","20191108"
"1419.121.24","0","1","1","0","0","0","0","20191107","20191108"
"1419.121.28","1","1","1","0","0","0","0","20191107","20191108"
"1419.121.32","0","0","0","1","0","0","0","20191107","20191108"
"1419.121.36","1","0","0","1","0","0","0","20191107","20191108"
"1419.121.4","1","0","0","0","0","0","0","20191107","20191108"
"1419.121.40","0","1","0","1","0","0","0","20191107","20191108"
"1419.121.44","1","1","0","1","0","0","0","20191107","20191108"
"1419.121.48","0","0","1","1","0","0","0","20191107","20191108"
"1419.121.52","1","0","1","1","0","0","0","20191107","20191108"
"1419.121.56","0","1","1","1","0","0","0","20191107","20191108"
"1419.121.60","1","1","1","1","0","0","0","20191107","20191108"
"1419.121.64","0","0","0","0","1","0","0","20191107","20191108"
"1419.121.68","1","0","0","0","1","0","0","20191107","20191108"
"1419.121.72","0","1","0","0","1","0","0","20191107","20191108"
"1419.121.76","1","1","0","0","1","0","0","20191107","20191108"
"1419.121.8","0","1","0","0","0","0","0","20191107","20191108"
"1419.121.80","0","0","1","0","1","0","0","20191107","20191108"
"1419.121.84","1","0","1","0","1","0","0","20191107","20191108"
"1419.121.88","0","1","1","0","1","0","0","20191107","20191108"
"1419.121.92","1","1","1","0","1","0","0","20191107","20191108"
"1419.121.96","0","0","0","1","1","0","0","20191107","20191108"
"1420.129.128","0","0","0","0","0","1","0","20191109","20191110"
"1420.129.130","0","0","0","0","0","1","1","20191109","20191110"
"1420.129.2","0","0","0","0","0","0","1","20191109","20191110"
"1421.117.100","1","0","0","1","1","0","0","20191111","20191115"
"1421.117.104","0","1","0","1","1","0","0","20191111","20191115"
"1421.117.108","1","1","0","1","1","0","0","20191111","20191115"
"1421.117.112","0","0","1","1","1","0","0","20191111","20191115"
"1421.117.116","1","0","1","1","1","0","0","20191111","20191115"
"1421.117.12","1","1","0","0","0","0","0","20191111","20191115"
"1421.117.120","0","1","1","1","1","0","0","20191111","20191115"
"1421.117.124","1","1","1","1","1","0","0","20191111","20191115"
"1421.117.16","0","0","1","0","0","0","0","20191111","20191115"
"1421.117.20","1","0","1","0","0","0","0","20191111","20191115"
"1421.117.24","0","1","1","0","0","0","0","20191111","20191115"
"1421.117.28","1","1","1","0","0","0","0","20191111","20191115"
"1421.117.32","0","0","0","1","0","0","0","20191111","20191115"
"1421.117.36","1","0","0","1","0","0","0","20191111","20191115"
"1421.117.4","1","0","0","0","0","0","0","20191111","20191115"
"1421.117.40","0","1","0","1","0","0","0","20191111","20191115"
"1421.117.44","1","1","0","1","0","0","0","20191111","20191115"
"1421.117.48","0","0","1","1","0","0","0","20191111","20191115"
"1421.117.52","1","0","1","1","0","0","0","20191111","20191115"
"1421.117.56","0","1","1","1","0","0","0","20191111","20191115"
"1421.117.60","1","1","1","1","0","0","0","20191111","20191115"
"1421.117.64","0","0","0","0","1","0","0","20191111","20191115"
"1421.117.68","1","0","0","0","1","0","0","20191111","20191115"
"1421.117.72","0","1","0","0","1","0","0","20191111","20191115"
"1421.117.76","1","1","0","0","1","0","0","20191111","20191115"
"1421.117.8","0","1","0","0","0","0","0","20191111","20191115"
"1421.117.80","0","0","1","0","1","0","0","20191111","20191115"
"1421.117.84","1","0","1","0","1","0","0","20191111","20191115"
"1421.117.88","0","1","1","0","1","0","0","20191111","20191115"
"1421.117.92","1","1","1","0","1","0","0","20191111","20191115"
"1421.117.96","0","0","0","1","1","0","0","20191111","20191115"
"951.127.128","0","0","0","0","0","1","0","20191116","20191117"
"951.127.130","0","0","0","0","0","1","1","20191116","20191117"
"951.127.2","0","0","0","0","0","0","1","20191116","20191117"
"952.136.100","1","0","0","1","1","0","0","20191118","20191122"
"952.136.104","0","1","0","1","1","0","0","20191118","20191122"
"952.136.108","1","1","0","1","1","0","0","20191118","20191122"
"952.136.112","0","0","1","1","1","0","0","20191118","20191122"
"952.136.116","1","0","1","1","1","0","0","20191118","20191122"
"952.136.12","1","1","0","0","0","0","0","20191118","20191122"
"952.136.120","0","1","1","1","1","0","0","20191118","20191122"
"952.136.124","1","1","1","1","1","0","0","20191118","20191122"
"952.136.16","0","0","1","0","0","0","0","20191118","20191122"
"952.136.20","1","0","1","0","0","0","0","20191118","20191122"
"952.136.24","0","1","1","0","0","0","0","20191118","20191122"
"952.136.28","1","1","1","0","0","0","0","20191118","20191122"
"952.136.32","0","0","0","1","0","0","0","20191118","20191122"
"952.136.36","1","0","0","1","0","0","0","20191118","20191122"
"952.136.4","1","0","0","0","0","0","0","20191118","20191122"
"952.136.40","0","1","0","1","0","0","0","20191118","20191122"
"952.136.44","1","1","0","1","0","0","0","20191118","20191122"
"952.136.48","0","0","1","1","0","0","0","20191118","20191122"
"952.136.52","1","0","1","1","0","0","0","20191118","20191122"
"952.136.56","0","1","1","1","0","0","0","20191118","20191122"
"952.136.60","1","1","1","1","0","0","0","20191118","20191122"
"952.136.64","0","0","0","0","1","0","0","20191118","20191122"
"952.136.68","1","0","0","0","1","0","0","20191118","20191122"
"952.136.72","0","1","0","0","1","0","0","20191118","20191122"
"952.136.76","1","1","0","0","1","0","0","20191118","20191122"
"952.136.8","0","1","0","0","0","0","0","20191118","20191122"
"952.136.80","0","0","1","0","1","0","0","20191118","20191122"
"952.136.84","1","0","1","0","1","0","0","20191118","20191122"
"952.136.88","0","1","1","0","1","0","0","20191118","20191122"
"952.136.92","1","1","1","0","1","0","0","20191118","20191122"
"952.136.96","0","0","0","1","1","0","0","20191118","20191122"
"1197.103.104","0","1","0","1","1","0","0","20191123","20191206"
"1197.103.108","1","1","0","1","1","0","0","20191123","20191206"
"1197.103.112","0","0","1","1","1","0","0","20191123","20191206"
